Day of Week Name,Year,Hour,Page Views,Sessions
Monday,2015,22,209,167
Monday,2016,03,209,186
Thursday,2016,03,209,167
Friday,2015,14,206,173
Monday,2015,07,206,82
Friday,2015,09,203,105
Wednesday,2015,00,203,82
Monday,2016,04,199,137
Saturday,2015,13,199,150
Wednesday,2015,09,199,144
Tuesday,2015,08,193,114
Friday,2015,12,190,154
Saturday,2015,17,190,134
Monday,2015,09,183,157
Saturday,2015,22,183,137
Wednesday,2015,23,183,121
Saturday,2015,23,180,131
Friday,2015,13,177,134
Saturday,2015,16,177,131
Wednesday,2015,08,177,92
Saturday,2015,08,173,92
Thursday,2015,09,170,118
Tuesday,2015,23,170,131
Sunday,2015,07,167,92
Thursday,2015,00,167,88
Sunday,2015,23,163,118
Wednesday,2015,07,163,49
Thursday,2015,23,160,118
Friday,2016,03,157,121
Wednesday,2016,03,147,137
Friday,2015,22,144,114
Friday,2016,04,144,124
Monday,2015,08,144,85
Wednesday,2015,02,144,36
Sunday,2016,04,128,108
Thursday,2015,08,128,88
Friday,2015,00,124,98
Friday,2015,23,124,95
Tuesday,2015,07,114,69
Friday,2015,06,111,43
Saturday,2015,00,111,98
Thursday,2015,07,111,78
Friday,2015,08,108,78
Friday,2015,07,105,69
Sunday,2015,00,101,85
Sunday,2015,06,101,43
Monday,2015,00,95,65
Monday,2015,06,95,65
Wednesday,2015,01,82,43
Sunday,2015,01,78,49
Thursday,2015,01,78,39
Friday,2015,01,65,46
Saturday,2015,07,65,49
Thursday,2015,06,56,43
Tuesday,2015,02,56,26
Wednesday,2015,06,52,36
Monday,2015,01,49,36
Wednesday,2015,05,43,20
Sunday,2015,02,39,39
Tuesday,2015,03,39,13
Friday,2015,03,36,16
Saturday,2015,01,36,29
Saturday,2015,06,36,33
Tuesday,2015,05,36,26
Monday,2015,05,33,23
Monday,2015,03,26,20
Thursday,2015,05,26,23
Tuesday,2015,01,26,26
Monday,2015,02,23,16
Saturday,2015,05,23,10
Sunday,2015,03,23,10
Thursday,2015,02,23,20
Wednesday,2015,04,23,13
Friday,2015,02,20,20
Friday,2015,05,20,16
Saturday,2015,04,16,10
Wednesday,2015,03,16,10
Monday,2015,04,13,13
Thursday,2015,03,13,13
Saturday,2015,02,10,10
Saturday,2015,03,10,10
Sunday,2015,05,10,10
Thursday,2015,04,10,7
Friday,2015,04,7,7
Sunday,2015,04,7,7
Tuesday,2015,04,7,7
Tuesday,2015,06,7,7
